#!/bin/bash
# File IMME_T1_ADNDT_099_680_2013.dat
# Data created on May 17 2012 by LAM Yi Hua
#
# The IMME coefficients of T=1/2 isobaric multiplets are published at
# Yi Hua Lam†, Bertram Blank‡, Nadezda A. Smirnova, Jean Bernard Bueb, Maria Susai Antony
# Atomic Data and Nuclear Data Tables 99 (2013) 680, http://dx.doi.org/10.1016/j.adt.2012.11.002
# 
# https://arxiv.org/XXXX.YYYY
#
# Corresponding authors:
# † lamyihua@impcas.ac.cn (Yi Hua LAM)
# ‡ blank@cenbg.in2p3.fr (Bertram BLANK)
#
# ORCID:
# https://orcid.org/0000-0001-6646-0745 (Yi Hua LAM)
# https://orcid.org/0000-0001-8944-7631 (Nadezda A. SMIRNOVA)
#
# See Atomic Data and Nuclear Data Tables 99 (2013) 680, or https://arxiv.org/XXXX.YYYY, Explanation of Tables, for data notations
# 
#A  2J  P    Nucl.      Mass Excess (keV) +/- (keV)     Nucl. Tz  Mass Excess (keV) +/- (keV)    Ex (keV)    a (keV)       +/- (keV)    b (keV)       +/- (keV)
#            Tz=+1/2                                    Tz=-1/2
 1   1  +     n           8071.31728      0.00046        H          7288.97064      0.00010          0         7680.14396    0.00024      782.34664     0.00047
 3   1  +     H          14949.8062       0.0022        He         14931.2156       0.0023           0        14940.5109     0.0016        18.5906      0.0032           
 5   3  -    He          11231           20             Li         11679           50                0        11455         27           -448          54                
 7   3  -    Li          14907.0961       0.0042        Be         15768.989        0.071            0        15338.043      0.036       -861.893       0.071            
 7   1  -    Li          15384.708        0.005         Be         16198.07         0.12           454        15791.39       0.06        -813.36        0.12             
 7   7  -    Li          19537            9             Be         20339           50             4601        19938         25           -802          51                
 7   5  -    Li          21587           50             Be         22499          100             6706        22043         56           -912         112                
 7   5  -    Li          22366.6          1.0           Be         22979           60             7335        22673         30           -612          60                
 7   7  -    Li          24578          100             Be         25039          100             9471        24808         71           -461         141                
 7   3  -    Li          26147           30             Be         26779           30            11125        26463         21           -632          42                
 9   3   -   Be          11348.44         0.08           B         12416.5          0.9              0        11882.5        0.5        -1068.0         0.9              
 9   2   +   Be          13032           20              B         13896           20             1582        13464         14           -864          28                
 9   5   -   Be          13777.8          1.3            B         14761           11             2388        14270          6           -984          11                
 9   5   +   Be          14397            9              B         15167           25             2900        14782         13           -770          27                
 9   1   -   Be          14128           12              B         15196           16             2780        14662         10          -1068          20                
 9   7   -   Be          17728           60              B         19401           50             6683        18565         39          -1673          78  
 9   7   -   Be          22630           22              B         24056           50            11461        23343         27          -1426          55  
 9   3   -   Be          25740.6          1.8            B         27071.5          2.7          14524        26406.1        1.6        -1330.8         3.2
 9   5   -   Be          25828            9              B         27116           18            14590        26472.        10          -1288          20  
 9   5   +   Be          28019            8              B         29126           10            16691        28573          6          -1107          13  
 9   7   +   Be          28843            5              B         29956           10            17518        29400          6          -1113          11  
11   3   -    B           8667.93         0.42           C         10650.34         0.95             0         9659.14       0.52       -1982.41        1.04
11   1   -    B          10792.62         0.42           C         12650.3          1.1           2063        11721.5        0.6        -1857.7         1.2 
11   5   -    B          13112.82         0.65           C         14969.1          1.5           4382        14041.0        0.8        -1856.3         1.7 
11   3   -    B          13688.24         0.51           C         15454.5          1.5           4913        14571.4        0.8        -1766.3         1.6 
11   1   +    B          15459.73         0.51           C         16989.5          1.7           6566        16224.6        0.9        -1529.8         1.8 
11   7   -    B          15410.8          1.8            C         17128.5          1.6           6611        16269.7        1.2        -1717.7         2.5 
11   5   +    B          15953.44         0.60           C         17555.1          1.7           7096        16754.3        0.9        -1601.7         1.8 
11   3   +    B          16645.77         0.59           C         18150.0          1.8           7739        17397.9        0.9        -1504.3         1.9 
11   3   -    B          17228.2          1.8            C         18754.8          1.9           8333        17991.5        1.3        -1526.6         2.7 
11   5   -    B          17588.1          2.0            C         19070            2             8671        18329          2          -1482           3   
11   7   +    B          17852.9          2.0            C         19305            8             8920        18579          4          -1452           8   
11   5   +    B          17942.3          2.0            C         19349           10             8987        18646          5          -1407          10   
11   3   -    B          18928           15              C         20300           50             9955        19614         26          -1372          52   
11   5   -    B          18998           11              C         20430           50            10055        19714         26          -1432          51   
11   7   +    B          19265            9              C         20733            5            10340        19999          5          -1468          10   
11   9   +    B          19933           17              C         21329            5            10972        20631          9          -1396          18   
11   1   -    B          21584           12              C         23160           30            12713        22372         16          -1576          32   
13   1   -    C           3125.00877      0.00021        N          5345.48         0.27             0         4235.24       0.14       -2220.47        0.27
13   1   +    C           6214.452        0.020          N          7710.4          0.7           2728         6962.4        0.3        -1495.9         0.7 
13   3   -    C           6809.516        0.019          N          8847            2             3594         7828          1          -2038           2   
13   5   +    C           6978.816        0.019          N          8892            4             3701         7936          2          -1914           4   
13   5   +    C           9989            3              N         11709            9             6614        10849          5          -1720           9   
13   3   +    C          10811            6              N         12231            8             7286        11521          5          -1420          10   
13   7   +    C          10617           10              N         12500            5             7324        11559          6          -1883          11   
13   5   -    C          10672            3              N         12721            9             7462        11697          5          -2049           9   
13   1   -    C          11985           20              N         14263           11             8889        13124         11          -2278          23   
13   9   +    C          12624            0              N         14345           28             9250        13485         14          -1721          28   
13   3   -    C          13022            5              N         14821            8             9687        13922          5          -1799           9   
13   7   -    C          13878            4              N         15705           10            10557        14792          5          -1827          11   
13   1   -    C          14205            5              N         16178            9            10957        15192          5          -1973          10   
13   5   -    C          13943            5              N         17045           30            11259        15494         15          -3102          30   
13   3   -    C          14873           10              N         17085           50            11744        15979         25          -2212          51   
15   1   -    N            101.43866      0.00060        O          2855.61         0.49             0         1478.52       0.25       -2754.17        0.49
15   1   +    N           5400.261        0.014          O          8038            1             5241         6719          1          -2638           1   
15   5   +    N           5371.594        0.014          O          8096.5          0.6           5256         6734.0        0.3        -2724.9         0.6 
15   3   -    N           6425.22         0.02           O          9031.9          1.8           6251         7728.6        0.9        -2606.7         1.8 
15   5   +    N           7256.49         0.02           O          9715.0          1.0           7008         8485.7        0.5        -2458.5         1.0 
15   3   +    N           7402.27         0.02           O          9648.7          1.8           7047         8525.5        0.9        -2246.4         1.8 
15   7   +    N           7668.5          1.0            O         10131.5          0.8           7422         8900.0        0.6        -2463.0         1.3 
15   1   +    N           8414.06         0.03           O         10412.1          0.6           7935         9413.1        0.3        -1998.0         0.6 
15   3   +    N           8672.84         0.12           O         11139.6          0.7           8428         9906.2        0.4        -2466.8         0.7 
15   1   +    N           9151.15         0.07           O         11778            2             8986        10464          1          -2626           2   
15   5   -    N           9861            1              O         12344            3             9624        11103          2          -2482           3   
15   3   -    N          10026.4          0.2            O         12465            2             9767        11246          1          -2438           2   
15   5   -    N          10551.1          0.3            O         13146           10            10370        11848          5          -2594          10   
15   5   +    N          10634.7          0.5            O         13156           10            10417        11895          5          -2521          10   
15   9   -    N          10794.6          0.3            O         13317            5            10578        12056          3          -2522           5   
15   3   -    N          10803.3          0.3            O         13335.6          2.5          10591        12069.5        1.3        -2532.3         2.6 
17   5   +    O           -808.76362      0.00064        F          1951.70         0.25             0          571.47       0.12       -2760.46        0.25
17   1   +    O             61.97         0.10           F          2447.03         0.27           684         1254.50       0.14       -2385.06        0.29
17   1   -    O           2246.60         0.16           F          5056            3             3080         3651          2          -2809           3   
17   5   -    O           3034.0          0.4            F          5809            4             3850         4421          2          -2775           4   
17   3   -    O           3745.0          1.6            F          6592           20             4597         5168         10          -2847          20   
17   3   +    O           4276.0          0.9            F          6952           20             5043         5614         10          -2676          20   
17   9   -    O           4407.0          0.5            F          7172           10             5218         5789          5          -2765          10   
17   3   -    O           4570.4          1.4            F          7440           11             5434         6005          5          -2869          11   
17   7   -    O           4888.5          0.4            F          7624           20             5685         6256         10          -2735          20   
17   5   -    O           4924.0          0.5            F          7634           20             5708         6279         10          -2710          20   
17   3   +    O           5060.3          0.6            F          7772           20             5845         6416         10          -2711          20   
17   1   -    O           5130            4              F          7989            9             5988         6559          5          -2858          10   
17   1   +    O           5547            8              F          8512           20             6458         7029         11          -2964          22   
17   5   +    O           6053            2              F          8649            7             6780         7351          4          -2595           7   
17   5   -    O           6356.9          0.8            F          8979           20             7097         7668         10          -2622          20   
17   3   +    O           6393           10              F          9308           20             7279         7850         11          -2914          22   
17   7   -    O           6879.4          0.9            F          9498           20             7618         8189         10          -2618          20   
17   1   +    O           7147            6              F          9702           40             7853         8424         20          -2554          40   
17   7   +    O           7657.2          0.8            F         10368           20             8441         9012         10          -2710          20   
19   1   +    F          -1487.44435      0.00086       Ne          1752.05         0.16             0          132.30       0.08       -3239.50        0.16
19   1   -    F          -1377.550        0.005         Ne          2027.14         0.21           193          324.80       0.10       -3404.69        0.21
19   5   +    F          -1290.301        0.004         Ne          1990.32         0.19           218          350.01       0.10       -3280.63        0.19
19   5   -    F           -141.77         0.13          Ne          3259.61         0.34          1427         1558.92       0.18       -3401.39        0.36
19   3   -    F            -28.7          0.3           Ne          3367.7          0.5           1538         1669.5        0.3        -3396.4         0.6 
19   3   +    F             66.594        0.009         Ne          3288.1          0.4           1546         1677.3        0.2        -3221.5         0.4 
19   9   +    F           1292.405        0.034         Ne          4546.8          0.6           2788         2919.6        0.3        -3254.3         0.6 
19   3   +    F           2420.73         0.20          Ne          5785.0          2.4           3971         4102.8        1.2        -3364.2         2.4 
19   9   -    F           2545.1          1.2           Ne          5892            4             4087         4219          2          -3347           4   
19   7   -    F           2511.3          0.7           Ne          5949.2          2.4           4098         4230.2        1.3        -3437.9         2.5 
19   7   +    F           2890.256        0.042         Ne          6131.2          2.2           4379         4510.7        1.1        -3240.9         2.2 
19   3   -    F           3068.7          0.5           Ne          6301            4             4553         4685          2          -3232           4
19   5   +    F           3062.5          0.8           Ne          6352            4             4575         4707          2          -3290           4
19  13   +    F           3161            1             Ne          6387            4             4642         4774          2          -3226           4
19   5   -    F           3195.1          0.7           Ne          6464           10             4698         4830          5          -3269          10
19   5   +    F           3619.2          0.9           Ne          6844            6             5100         5232          3          -3225           6
19   1   +    F           3850            2             Ne          7103           10             5344         5476          5          -3253          10
19   7   +    F           3976.1          1.5           Ne          7176            7             5444         5576          4          -3200           7
21   3   +   Ne          -5731.775        0.038         Na         -2184.64         0.28             0        -3958.21       0.14       -3547.14        0.28
21   5   +   Ne          -5381.048        0.039         Na         -1852.74         0.29           342        -3616.89       0.15       -3528.31        0.30
21   7   +   Ne          -3985.864        0.042         Na          -468.5          0.4           1732        -2227.2        0.2        -3517.3         0.4 
21   1   -   Ne          -2943.54         0.01          Na           613.3          0.6           2794        -1165.1        0.3        -3556.8         0.6 
21   1   +   Ne          -2937.61         0.06          Na           239.2          0.5           2609        -1349.2        0.2        -3176.8         0.5 
21   9   +   Ne          -2865.17         0.15          Na           644.5          0.8           2848        -1110.4        0.4        -3509.6         0.8 
21   3   -   Ne          -2069.13         0.20          Na          1494.3          0.5           3671         -287.4        0.3        -3563.4         0.5 
21   5   +   Ne          -1996.18         0.15          Na          1359.7          0.5           3640         -318.3        0.3        -3355.8         0.5 
21   5   -   Ne          -1847.81         0.21          Na          1677.6          0.6           3874          -85.1        0.3        -3525.4         0.6 
21  11   +   Ne          -1300.0          0.5           Na          2234            2             4426          467          1          -3534           2   
21   5   +   Ne          -1205.91         0.16          Na          2109.7          0.7           4411          451.9        0.3        -3315.6         0.7 
21   3   +   Ne          -1047.21         0.15          Na          2283.3          0.8           4577          618.0        0.4        -3330.5         0.8 
21   3   -   Ne          -1006.43         0.06          Na          1985.0          0.8           4448          489.3        0.4        -2991.4         0.8 
21   7   -   Ne             86.9          0.8           Na          3630            1             5817         1859          1          -3543           1   
21   3   -   Ne            260.84         0.13          Na          3643            1             5911         1952          1          -3383           1   
23   3   +   Na          -9529.8526       0.0018        Mg         -5473.26         0.69             0        -7501.56       0.34       -4056.59        0.69
23   5   +   Na          -9089.863        0.009         Mg         -5022.55         0.70           446        -7056.21       0.35       -4067.31        0.70
23   7   +   Na          -7453.842        0.022         Mg         -3421.1          1.1           2065        -5437.5        0.6        -4032.8         1.1 
23   1   +   Na          -7139.121        0.013         Mg         -3114.3          1.6           2375        -5126.7        0.8        -4024.9         1.6 
23   1   -   Na          -6890.00         0.04          Mg         -2702            3             2706        -4796          2          -4188           3   
23   9   +   Na          -6826.353        0.025         Mg         -2758.6          1.2           2710        -4792.5        0.6        -4067.8         1.2 
23   3   +   Na          -6547.793        0.019         Mg         -2565.2          2.1           2946        -4556.5        1.1        -3982.6         2.1 
23   3   -   Na          -5852.25         0.04          Mg         -1675            5             3738        -3764          3          -4177           5  
23   5   -   Na          -5681.784        0.022         Mg         -1500            5             3911        -3591          3          -4182           5  
23   5   +   Na          -5615.614        0.019         Mg         -1609            5             3890        -3612          3          -4006           5  
23   1   +   Na          -5100.21         0.08          Mg         -1120            6             4392        -3110          3          -3980           6  
23   7   +   Na          -4755.24         0.05          Mg          -788            6             4730        -2772          3          -3967           6  
23   5   +   Na          -4151.28         0.11          Mg          -186            6             5333        -2169          3          -3965           6  
23  11   +   Na          -3995.9          0.3           Mg           -20.1          1.7           5494        -2008.0        0.9        -3975.8         1.8 
23   5   +   Na          -3788.10         0.10          Mg           183            7             5699        -1803          4          -3971           7  
23   3   +   Na          -3763.82         0.07          Mg           218            8             5729        -1773          4          -3982           8  
23   7   +   Na          -3603.04         0.12          Mg           459            6             5930        -1572          3          -4062           6  
23   3   -   Na          -3565.43         0.12          Mg           511            6             5975        -1527          3          -4076           6  
23   7   -   Na          -3487.66         0.04          Mg           652            6             6084        -1418          3          -4139           6  
25   5   +   Mg         -13192.77         0.05          Al         -8916.17         0.475            0       -11054.47       0.24       -4276.60        0.48
25   1   +   Mg         -12607.73         0.05          Al         -8464.5          0.7            519       -10536.1        0.3        -4143.3         0.7
25   3   +   Mg         -12218.02         0.05          Al         -7971.3          0.7            960       -10094.6        0.3        -4246.7         0.7
25   7   +   Mg         -11581.00         0.05          Al         -7303.7          0.7           1613        -9442.3        0.3        -4277.3         0.7
25   5   +   Mg         -11228.15         0.05          Al         -7126.7          0.7           1878        -9177.4        0.3        -4101.5         0.7
25   1   +   Mg         -10629.41         0.07          Al         -6430.9          1.0           2525        -8530.1        0.5        -4198.5         1.0
25   3   +   Mg         -10391.31         0.06          Al         -6242.9          0.8           2738        -8317.1        0.4        -4148.4         0.8
25   7   +   Mg         -10455.0          0.3           Al         -6196.0          0.7           2729        -8325.5        0.4        -4259.0         0.8
25   3   -   Mg          -9779.40         0.05          Al         -5854.2          0.8           3238        -7816.8        0.4        -3925.2         0.8
25   9   +   Mg          -9787.71         0.18          Al         -5492.0          0.9           3415        -7639.8        0.5        -4295.7         0.9
25   7   -   Mg          -9222.04         0.20          Al         -5220.7          0.8           3834        -7221.4        0.4        -4001.4         0.9
25   5   +   Mg          -9284.9          0.4           Al         -5057.1          0.9           3884        -7171.0        0.5        -4227.8         1.0
25   9   +   Mg          -9133.2          0.3           Al         -4890            2             4043        -7012          1          -4243           2  
25   1   -   Mg          -8915.7          0.4           Al         -5093.2          2.1           4051        -7004.4        1.0        -3822.5         2.1
25   3   +   Mg          -8833.16         0.15          Al         -4724            4             4276        -6779          2          -4109           4
25   9   +   Mg          -8481.2          0.4           Al         -4400            5             4614        -6441          3          -4081           5
25   5   +   Mg          -8470.6          0.7           Al         -4334            2             4653        -6402          1          -4136           2
25   7   +   Mg          -8180.6          0.4           Al         -4010            4             4960        -6095          2          -4170           4
27   5   +   Al         -17196.70         0.10          Si        -12384.34         0.14             0       -14790.52       0.09       -4812.36        0.18
27   1   +   Al         -16352.94         0.14          Si        -11603.4          0.2            813       -13978.2        0.1        -4749.5         0.3
27   3   +   Al         -16182.14         0.14          Si        -11426.9          0.2            986       -13804.5        0.1        -4755.2         0.3
27   7   +   Al         -14984.69         0.14          Si        -10220.7          0.2           2188       -12602.7        0.1        -4763.9         0.3
27   5   +   Al         -14461.8          0.7           Si         -9736.7          0.3           2692       -12099.3        0.4        -4725.1         0.8
27   3   +   Al         -14214.70         0.12          Si         -9518.0          0.3           2925       -11866.4        0.2        -4696.7         0.4
